location_type,family_income,financial_aid_status,distance_to_institute,internet_connectivity_issues,motivation_score,career_alignment,stress_levels,family_support,attendance_rate,test_scores_avg,backlogs,teaching_quality_rating,dropout
Semi-urban,14870.0,0,8.5,0,6,2,1,3,68.6,48.5,2,6,0
Urban,2587.0,1,1.4,0,8,2,2,3,27.8,63.8,1,8,0
Urban,13201.0,0,19.1,0,2,3,3,3,36.3,83.6,0,7,1
Rural,21716.0,2,1.43,1,7,2,1,2,58.2,72.4,0,7,0
Rural,4895.0,2,31.53,0,8,3,3,1,69.2,79.7,2,6,0
Urban,29370.0,0,7.2,1,9,2,2,2,85.2,84.2,0,7,0
Urban,20782.0,1,3.1,0,5,2,2,2,59.8,92.0,3,10,0
Rural,7282.0,0,0.85,1,3,2,3,1,48.4,50.9,1,4,1
Urban,13988.0,0,1.3,0,10,3,1,3,60.3,58.4,1,8,0
Urban,5454.0,0,7.7,2,4,1,1,2,13.6,56.0,0,6,1
Rural,15570.0,1,0.67,0,6,2,2,3,75.6,47.1,0,5,0
Rural,9280.0,0,0.69,1,2,1,3,2,35.9,72.4,1,4,1
Semi-urban,12078.0,1,9.6,2,6,1,2,3,81.6,61.6,3,5,0
Urban,14405.0,1,0.5,0,5,2,3,1,72.2,51.5,0,4,0
Semi-urban,50000.0,1,5.5,1,6,3,2,1,45.9,56.1,1,8,0
Semi-urban,2382.0,2,42.1,1,6,2,3,1,57.4,52.8,1,7,1
Rural,6343.0,0,6.42,0,5,3,2,3,35.2,37.1,3,9,1
Semi-urban,6854.0,0,19.2,2,7,3,1,2,68.6,81.0,9,7,1
Urban,44622.0,1,2.6,2,5,2,3,1,54.8,65.6,6,7,1
Semi-urban,7907.0,0,6.5,0,6,3,1,1,50.7,38.7,0,8,0
Semi-urban,9700.0,0,12.2,1,6,3,3,1,75.1,63.2,1,9,0
Semi-urban,10934.0,0,3.7,2,4,1,2,2,31.4,36.0,6,5,1
Semi-urban,6158.0,1,8.3,1,3,1,3,1,68.8,53.4,0,6,1
Urban,35485.0,0,16.1,2,7,2,3,1,65.5,70.5,4,8,1
Semi-urban,3757.0,2,6.7,0,8,2,2,2,15.1,55.4,1,6,0
Rural,15001.0,2,3.23,1,4,1,3,3,86.6,48.0,0,8,0
Semi-urban,4468.0,0,3.4,1,5,2,2,1,63.0,56.5,0,7,0
Semi-urban,8348.0,2,1.2,1,1,1,2,1,58.1,76.8,2,7,1
Rural,50000.0,2,2.97,1,5,1,2,2,53.6,40.0,1,10,1
Urban,15910.0,1,18.8,1,3,1,2,3,61.8,59.7,2,5,1
Urban,50000.0,0,2.2,1,3,2,3,2,72.5,38.6,0,8,1
Rural,5069.0,0,25.85,0,8,2,3,2,68.8,69.9,3,7,1
Rural,6606.0,1,11.12,1,10,3,3,2,74.9,41.7,0,8,0
Semi-urban,42714.0,1,3.9,0,5,2,3,1,95.2,67.8,0,2,0
Urban,15990.0,0,8.1,2,10,3,3,3,95.0,78.7,1,6,0
Semi-urban,9657.0,1,23.0,1,5,1,3,3,69.6,66.6,0,10,0
Semi-urban,24145.0,0,2.2,0,7,2,1,3,26.1,54.5,1,7,0
Rural,9903.0,1,2.48,2,6,2,3,1,69.0,68.3,0,7,0
Semi-urban,17516.0,2,4.5,2,4,1,1,3,10.0,68.7,2,5,0
Rural,12762.0,1,0.89,1,9,2,2,3,77.5,81.4,0,8,0
Semi-urban,11800.0,2,35.0,0,6,2,3,2,54.1,53.4,6,6,1
Semi-urban,10842.0,1,0.6,0,3,1,3,2,61.3,70.3,3,5,1
Rural,2405.0,2,0.72,0,7,2,3,2,85.6,66.6,0,5,0
Rural,9649.0,1,15.88,1,6,3,2,2,44.8,72.6,1,6,0
Urban,13705.0,2,5.4,1,10,3,3,2,58.8,76.1,0,10,0
Urban,35144.0,1,3.4,1,6,2,1,3,58.9,38.6,0,9,0
Semi-urban,49427.0,1,0.7,2,8,3,1,3,17.5,44.1,8,10,1
Urban,11400.0,0,2.7,1,6,3,3,1,91.0,55.2,6,3,1
Urban,15815.0,1,19.0,1,2,1,3,1,26.6,58.5,5,9,1
Rural,4292.0,1,22.12,0,9,2,1,3,10.0,54.6,1,7,0
Urban,20700.0,2,18.0,0,5,3,3,1,43.1,75.4,0,3,0
Urban,50000.0,2,3.1,1,7,2,2,3,88.8,35.0,0,7,0
Semi-urban,50000.0,0,2.6,2,2,2,2,1,59.1,40.7,1,8,1
Rural,43711.0,2,3.09,2,6,3,3,1,62.9,72.7,1,8,0
Rural,3871.0,0,0.67,1,4,1,2,2,40.7,35.0,1,5,1
Semi-urban,5665.0,1,1.4,0,9,3,1,3,60.8,75.3,0,8,0
Rural,2000.0,2,7.1,1,7,3,3,2,66.2,83.7,0,6,0
Rural,8795.0,1,48.96,1,9,2,2,3,10.0,55.6,1,6,1
Semi-urban,5778.0,2,8.0,0,4,2,2,2,28.4,72.0,6,9,1
Semi-urban,22983.0,0,0.5,0,4,3,2,2,33.3,56.9,1,7,0
Semi-urban,21124.0,2,4.8,1,7,2,2,2,87.0,83.9,0,6,0
Urban,4422.0,0,3.9,1,9,2,2,2,81.0,59.4,1,8,0
Rural,15835.0,0,4.53,1,5,2,2,2,58.8,60.2,1,7,0
Urban,25569.0,1,3.0,1,6,3,3,2,15.3,56.0,5,3,1
Semi-urban,6418.0,1,0.5,0,9,2,1,2,90.3,72.8,5,7,0
Rural,5790.0,2,6.83,1,5,2,2,1,31.1,35.0,1,2,1
Semi-urban,4147.0,1,13.5,2,10,3,2,2,86.2,78.1,0,8,0
Semi-urban,9633.0,0,22.7,1,8,2,2,3,40.4,72.5,1,6,0
Rural,2209.0,1,1.02,0,2,2,3,1,46.6,41.5,1,10,1
Urban,9309.0,0,9.4,0,2,1,3,1,56.4,81.4,7,7,1
Semi-urban,38628.0,1,14.0,1,7,2,1,3,23.1,59.5,2,8,0
Rural,3404.0,0,10.97,2,4,1,1,3,80.5,79.3,0,7,0
Urban,17536.0,0,0.5,0,5,2,1,3,19.1,52.1,4,5,1
Rural,10909.0,2,5.35,2,6,3,2,1,64.2,65.0,0,6,0
Semi-urban,2000.0,2,0.5,1,3,2,3,1,58.6,59.3,6,7,1
Urban,3895.0,1,2.5,1,8,2,2,2,85.9,97.1,0,6,0
Semi-urban,15238.0,0,11.3,0,5,2,2,2,83.6,69.0,0,6,0
Urban,10787.0,0,22.1,0,4,3,1,1,74.3,65.9,9,5,1
Rural,4784.0,2,1.24,1,7,3,2,1,42.8,49.2,0,3,0
Semi-urban,9525.0,0,7.9,0,4,2,3,1,61.4,68.2,4,6,1
Semi-urban,15238.0,0,2.9,1,3,2,3,1,54.5,75.4,4,6,1
Rural,3246.0,1,16.51,0,6,2,1,2,71.5,76.2,0,6,0
Semi-urban,10236.0,1,27.3,0,5,2,1,2,53.2,38.5,1,5,0
Rural,13202.0,1,8.9,0,8,3,3,2,51.6,43.2,1,5,0
Rural,5376.0,0,2.37,0,6,2,2,2,87.6,100.0,0,8,0
Rural,5259.0,0,49.14,1,7,2,3,2,11.8,54.4,1,6,1
Rural,20373.0,0,0.86,2,3,1,3,2,61.8,35.0,2,4,1
Semi-urban,4593.0,0,24.7,0,5,2,2,2,65.0,70.1,1,9,1
Semi-urban,2983.0,0,19.5,1,7,2,3,3,48.1,39.4,2,3,1
Rural,9739.0,1,34.66,1,4,1,1,3,53.3,60.3,4,8,1
Urban,10379.0,2,4.9,2,9,2,1,2,10.0,71.3,0,8,0
Urban,8613.0,2,2.3,0,6,3,2,2,40.2,58.8,2,7,0
Urban,2000.0,0,12.8,1,5,2,1,3,85.9,100.0,0,8,0
Semi-urban,19684.0,1,34.8,1,10,2,2,3,54.7,57.9,3,6,0
Semi-urban,18184.0,0,0.5,0,5,2,2,1,73.9,60.3,0,7,0
Rural,4538.0,2,16.18,2,6,1,2,3,87.2,87.8,0,7,0
Semi-urban,35378.0,2,13.1,1,10,2,1,3,93.4,79.5,0,4,0
Semi-urban,8157.0,1,23.1,2,3,1,2,3,35.7,62.4,0,4,1
Urban,10061.0,1,5.6,1,3,2,3,1,87.5,70.1,5,6,1
Rural,7548.0,1,6.46,0,2,1,3,1,51.2,69.6,0,7,1
Urban,8634.0,0,10.3,1,5,2,2,1,88.4,75.8,0,6,0
Urban,17750.0,1,2.6,1,4,3,2,2,59.0,68.6,2,7,0
Urban,6405.0,1,9.6,1,5,2,2,2,58.7,60.7,0,6,0
Urban,27078.0,0,15.6,1,2,1,2,2,38.0,42.4,2,7,1
Semi-urban,3849.0,0,5.9,1,4,2,3,1,45.6,42.2,0,10,1
Semi-urban,4484.0,1,1.0,0,6,2,2,1,51.4,58.4,1,9,0
Semi-urban,6438.0,1,5.3,1,5,2,2,3,38.7,76.4,0,5,0
Urban,12360.0,0,1.4,1,7,3,1,2,68.1,40.2,2,6,0
Rural,5131.0,1,0.82,2,7,2,2,2,52.8,90.4,1,9,0
Semi-urban,24148.0,1,19.5,1,1,1,2,2,73.2,43.6,0,4,0
Urban,6975.0,1,18.7,1,6,2,2,2,48.0,35.0,0,6,1
Urban,31443.0,1,4.3,0,10,2,1,3,76.2,90.9,0,6,0
Rural,11915.0,0,10.16,2,7,2,1,2,67.1,37.1,0,10,0
Semi-urban,9831.0,2,1.9,2,4,1,3,2,82.5,37.9,0,5,0
Semi-urban,6640.0,1,1.4,1,9,2,2,2,19.0,75.7,1,6,0
Semi-urban,8562.0,0,27.6,0,7,2,2,2,42.5,77.9,2,6,1
Rural,6978.0,0,5.67,1,10,3,2,2,32.5,64.0,1,8,0
Urban,10995.0,2,7.5,0,5,1,2,2,80.9,52.1,4,6,1
Semi-urban,3207.0,1,9.1,2,5,3,1,2,66.8,50.3,0,6,0
Semi-urban,2212.0,1,1.2,1,5,1,1,3,37.4,50.8,1,7,0
Urban,7663.0,0,8.5,0,4,2,2,1,26.9,51.5,1,7,1
Urban,4777.0,0,2.2,0,5,3,3,1,66.2,71.5,0,6,0
Rural,3728.0,0,4.56,1,7,2,1,3,85.0,57.8,1,3,0
Semi-urban,16235.0,2,20.8,0,7,2,2,2,64.1,77.8,2,8,0
Rural,14458.0,1,5.04,1,9,2,2,2,73.1,55.3,0,6,0
Urban,2687.0,1,17.5,2,5,2,3,2,63.6,54.1,5,9,1
Rural,19928.0,0,3.97,1,3,2,3,3,12.7,72.0,1,6,1
Rural,6522.0,0,5.35,1,6,3,3,1,59.1,46.2,2,7,1
Urban,2000.0,0,3.3,0,3,2,3,1,24.3,76.5,1,5,1
Rural,9197.0,1,24.4,1,2,2,2,1,12.0,42.8,2,9,1
Semi-urban,4443.0,0,6.9,0,4,1,3,2,69.9,73.4,2,6,1
Urban,37485.0,1,0.7,0,5,1,2,2,41.9,78.0,9,7,1
Rural,17501.0,0,15.44,0,8,2,1,3,78.4,60.0,8,7,1
Rural,12261.0,0,5.68,1,9,2,2,3,52.7,44.7,1,6,0
Semi-urban,8229.0,0,25.4,0,4,2,3,1,48.1,93.6,0,10,1
Rural,8935.0,0,7.79,0,4,2,1,3,91.3,70.4,0,5,0
Rural,18390.0,1,25.29,0,3,1,2,1,72.0,83.2,0,7,0
Rural,7507.0,1,16.25,2,5,1,2,3,70.2,80.4,2,7,1
Urban,31464.0,1,0.7,1,10,3,1,2,77.2,45.7,0,6,0
Rural,4228.0,1,0.75,1,5,2,2,3,82.9,80.9,4,5,1
Semi-urban,8362.0,1,5.8,0,6,2,3,2,30.8,50.3,4,3,1
Semi-urban,50000.0,0,14.2,0,10,2,2,3,66.7,89.6,0,5,0
Rural,8145.0,1,21.74,0,10,2,1,3,49.4,54.2,1,9,0
Rural,20889.0,1,8.62,2,5,2,3,2,43.9,72.6,1,8,1
Rural,4352.0,1,4.91,1,5,2,3,1,19.3,36.2,1,5,1
Rural,34521.0,0,8.04,2,7,3,2,3,18.4,39.0,1,8,0
Rural,29205.0,1,2.09,1,6,2,3,1,60.4,35.0,0,6,1
Urban,43232.0,0,2.9,2,3,2,2,1,24.1,87.8,1,8,1
Semi-urban,25557.0,1,17.1,2,6,3,2,1,80.6,77.9,1,6,0
Semi-urban,8164.0,0,18.1,1,7,2,3,1,88.9,44.8,3,9,1
Rural,21117.0,1,9.49,0,8,3,3,1,81.0,71.4,0,7,0
Semi-urban,12395.0,1,0.5,0,7,1,1,3,51.1,72.7,0,7,0
Semi-urban,2750.0,1,2.6,0,4,2,1,1,68.0,75.9,2,9,0
Rural,5533.0,0,29.1,0,6,2,2,2,61.5,38.1,2,7,1
Semi-urban,13820.0,1,2.0,1,5,2,3,2,15.3,89.2,3,9,1
Semi-urban,11446.0,0,11.2,2,5,2,2,2,10.0,61.8,1,6,1
Semi-urban,11041.0,1,11.8,0,3,1,2,2,36.5,42.9,1,3,1
Rural,30860.0,1,31.54,1,5,2,1,2,14.3,58.3,2,3,1
Rural,3452.0,2,9.45,0,7,3,3,1,81.9,37.3,0,8,0
Urban,8317.0,0,21.4,2,7,2,2,2,81.2,66.1,1,6,0
Semi-urban,6652.0,0,0.5,0,8,2,3,2,36.7,50.2,1,6,0
Rural,7053.0,2,0.94,1,7,2,1,2,29.7,47.1,1,6,0
Rural,11401.0,2,1.82,2,6,2,2,1,59.2,38.4,1,6,0
Rural,16516.0,0,11.67,0,5,2,3,2,38.9,75.1,5,6,1
Urban,10055.0,2,3.9,1,3,1,3,2,72.6,68.6,7,8,1
Urban,24016.0,1,18.9,2,5,1,3,1,65.1,57.1,2,7,1
Urban,16810.0,1,1.5,0,10,3,1,2,68.5,71.6,2,6,0
Rural,5155.0,1,6.0,0,9,3,2,2,58.2,39.1,2,5,0
Rural,2312.0,0,0.75,0,3,2,2,1,83.6,63.4,0,7,0
Semi-urban,18301.0,2,13.1,0,8,2,2,3,54.0,59.6,5,8,1
Semi-urban,16901.0,1,10.9,2,6,1,2,2,60.0,50.5,0,5,0
Semi-urban,12277.0,1,0.9,2,7,2,2,3,64.7,59.0,0,7,0
Semi-urban,8117.0,1,23.4,2,2,1,3,1,21.4,54.2,1,6,1
Semi-urban,4629.0,0,10.0,0,2,1,3,1,38.1,54.3,1,10,1
Semi-urban,8931.0,1,0.8,0,7,2,2,2,65.2,84.0,0,6,0
Urban,16653.0,1,3.8,2,8,2,1,3,97.3,39.7,0,4,0
Semi-urban,7055.0,2,6.3,1,7,2,1,2,81.7,82.9,0,7,0
Semi-urban,21930.0,1,1.9,0,5,1,1,3,87.9,72.0,0,4,0
Rural,8332.0,0,7.81,2,5,1,2,3,74.1,72.6,0,9,0
Rural,4129.0,0,0.83,0,6,2,1,2,66.8,41.7,0,8,0
Semi-urban,2000.0,0,8.1,1,6,1,1,3,39.6,68.0,1,10,1
Semi-urban,5903.0,2,6.4,0,7,2,3,2,38.8,87.4,0,8,0
Rural,11351.0,0,1.93,1,7,2,1,2,65.2,65.1,1,7,0
Urban,13043.0,2,14.1,2,6,3,3,1,17.6,65.0,6,10,1
Semi-urban,9822.0,0,11.9,0,7,3,1,2,10.0,72.9,1,7,0
Rural,6321.0,1,13.56,2,2,1,1,3,22.3,71.7,3,9,1
Semi-urban,20876.0,0,12.6,1,5,1,1,2,81.9,79.0,0,7,0
Urban,29095.0,1,3.2,1,6,3,3,2,53.9,69.0,0,8,0
Urban,10228.0,0,6.3,1,5,3,1,1,78.7,60.9,0,8,0
Semi-urban,17965.0,0,12.1,2,10,2,1,3,84.6,55.4,2,6,0
Urban,21820.0,2,4.8,0,4,2,3,2,32.8,67.2,1,3,0
Rural,3290.0,0,33.78,2,8,3,2,2,60.5,58.8,2,6,1
Rural,5527.0,2,5.57,0,7,2,1,2,75.7,65.6,2,6,0
Urban,36460.0,2,10.2,2,4,2,3,2,39.8,68.9,0,5,1
Urban,12646.0,2,2.5,1,8,3,1,2,48.9,57.5,1,5,0
Semi-urban,2000.0,0,1.3,0,4,3,2,1,72.1,38.6,0,7,0
Urban,29562.0,1,0.5,2,6,2,2,1,80.4,76.3,1,5,0
Urban,3981.0,2,0.6,0,4,1,2,3,92.8,97.1,3,10,0
Rural,11192.0,1,4.26,2,5,3,3,2,50.5,54.3,0,7,0
Semi-urban,4967.0,2,3.2,2,7,2,2,3,74.6,88.3,3,8,0
Semi-urban,13479.0,1,1.8,1,7,2,1,3,34.1,57.0,0,6,0
Rural,3408.0,1,3.76,0,3,1,2,2,84.6,38.9,0,4,1
Urban,12177.0,2,3.6,2,5,3,3,1,60.6,57.7,0,8,0
Semi-urban,33899.0,1,3.6,0,9,2,1,2,64.2,44.5,0,10,0
Urban,20698.0,0,5.4,1,8,3,2,3,15.4,62.5,9,8,1
Urban,17940.0,2,3.7,0,1,1,2,1,87.8,80.9,0,5,0
Urban,8443.0,0,1.8,0,10,3,3,2,37.4,71.6,4,4,1
Semi-urban,11138.0,0,0.7,2,6,2,3,1,80.3,52.3,0,6,1
Rural,9414.0,0,6.77,2,6,2,2,1,22.7,71.9,1,6,1
Urban,7203.0,0,1.7,2,3,1,3,1,55.8,69.0,0,3,1
Semi-urban,28955.0,0,3.3,1,5,2,2,1,59.3,53.9,1,6,0
Semi-urban,19606.0,0,27.1,2,8,2,2,3,69.6,94.8,7,8,1
Rural,21684.0,1,11.93,0,5,1,2,3,80.3,100.0,7,8,1
Urban,8074.0,1,33.8,1,6,3,3,1,57.8,43.8,0,6,0
Semi-urban,14758.0,1,0.5,0,8,2,1,2,78.6,64.0,2,7,0
Rural,2000.0,1,29.4,0,5,2,2,1,59.1,61.2,7,7,1
Semi-urban,10200.0,1,4.1,1,2,2,3,1,71.7,70.0,0,2,1
Urban,10189.0,1,22.9,1,5,1,3,3,79.1,59.8,4,6,1
Semi-urban,23640.0,1,0.5,0,6,2,3,1,49.0,54.5,1,4,1
Urban,12955.0,2,23.3,2,9,3,1,2,77.9,37.8,0,3,0
Rural,3988.0,0,22.61,0,9,2,1,3,82.4,74.1,1,8,0
Rural,9339.0,1,16.58,0,6,3,3,1,66.1,81.8,0,6,0
Urban,6226.0,1,4.9,2,8,2,3,2,78.3,56.1,0,6,0
Rural,4056.0,0,4.55,0,5,1,3,1,38.9,81.3,2,9,1
Rural,2258.0,0,0.97,2,5,2,2,2,59.3,70.4,2,8,1
Semi-urban,6851.0,0,1.0,0,5,2,2,3,79.7,63.1,2,8,0
Urban,4349.0,1,3.7,0,9,2,2,2,85.0,67.2,5,9,0
Rural,2958.0,0,26.92,2,4,2,2,3,55.2,87.4,4,6,1
Rural,16789.0,1,16.2,0,5,2,3,1,67.5,39.4,1,10,0
Urban,34073.0,1,7.6,1,5,1,2,3,65.1,61.1,0,8,0
Urban,50000.0,1,3.7,1,10,2,2,3,13.3,75.6,0,7,0
Semi-urban,19412.0,0,1.9,2,10,3,2,2,90.8,66.4,0,7,0
Semi-urban,9621.0,0,4.1,2,9,2,2,3,50.3,79.3,6,7,1
Urban,21150.0,2,3.1,1,3,1,3,3,71.5,50.4,0,6,1
Rural,18209.0,1,5.44,1,5,2,1,1,73.6,44.8,2,8,0
Rural,5574.0,0,50.0,1,8,2,2,2,71.7,87.9,0,8,0
Urban,10402.0,1,16.5,2,6,3,3,3,55.5,36.1,1,5,1
Rural,14699.0,1,4.75,1,6,2,1,2,66.5,66.8,2,6,0
Semi-urban,6296.0,2,7.6,1,6,2,2,1,39.8,58.8,1,9,0
Urban,20666.0,2,4.4,1,3,3,3,1,16.9,66.9,3,7,1
Semi-urban,9917.0,1,7.8,1,9,3,1,3,53.8,61.6,1,7,0
Rural,2000.0,0,2.0,0,3,2,3,1,81.3,66.9,1,7,0
Rural,3842.0,1,1.76,1,8,2,1,2,72.8,55.4,0,3,0
Rural,8148.0,1,10.48,0,10,2,2,3,41.5,78.5,2,5,0
Urban,8008.0,0,6.9,0,5,2,3,3,55.8,82.7,1,8,0
Rural,6274.0,0,10.05,2,10,3,1,3,16.7,64.3,1,10,0
Urban,2527.0,1,16.3,2,3,2,1,2,15.1,63.9,0,7,0
Semi-urban,17179.0,0,0.5,0,8,2,2,2,56.2,70.2,1,6,0
Semi-urban,3186.0,0,2.0,1,8,3,3,1,72.4,57.3,7,7,1
Semi-urban,22037.0,2,0.5,1,7,2,1,2,85.1,47.8,0,7,0
Semi-urban,11141.0,0,2.9,0,8,2,2,2,86.5,75.3,0,10,0
Semi-urban,11336.0,0,0.5,1,4,3,1,2,25.5,81.2,5,10,1
Urban,12107.0,0,10.9,1,4,2,2,1,55.4,60.8,2,7,1
Rural,2266.0,1,14.31,0,5,2,3,1,92.1,64.7,0,7,0
Semi-urban,5626.0,1,6.8,1,5,1,3,2,34.7,79.1,0,4,0
Semi-urban,23868.0,0,5.6,1,9,2,2,2,69.2,58.1,0,6,0
Rural,48999.0,0,3.3,2,1,1,2,2,62.0,68.0,0,6,1
Rural,17371.0,1,5.52,1,7,2,1,2,86.3,75.2,0,8,0
Semi-urban,50000.0,2,21.7,2,4,3,2,1,59.0,46.8,1,8,0
Urban,2464.0,2,6.1,1,3,3,3,1,53.6,71.9,0,6,0
Rural,5017.0,1,7.4,1,5,1,1,3,73.3,41.6,7,5,1
Semi-urban,6699.0,1,11.8,1,8,3,1,3,29.3,55.1,1,8,0
Urban,2000.0,0,6.6,1,7,2,3,2,76.5,69.0,4,8,1
Semi-urban,6228.0,0,0.9,2,9,2,2,3,87.3,83.1,4,5,1
Urban,3563.0,2,34.4,1,10,3,1,2,55.5,48.0,0,8,0
Urban,30348.0,1,5.7,1,4,2,1,1,73.1,76.5,0,4,0
Urban,26742.0,0,3.5,1,5,2,3,2,83.9,82.2,0,6,0
Urban,7636.0,0,14.8,0,3,1,1,1,58.2,46.8,0,8,1
Urban,17751.0,2,5.2,1,9,2,2,3,75.0,39.5,0,8,0
Urban,11509.0,2,14.5,1,7,3,1,3,96.2,37.1,0,4,0
Semi-urban,4306.0,0,0.5,0,7,2,2,3,84.5,70.0,9,6,1
Semi-urban,19544.0,0,5.9,0,7,3,3,2,64.0,58.2,0,9,0
Semi-urban,5388.0,2,14.5,2,9,2,3,2,78.3,67.3,0,10,0
Semi-urban,4678.0,2,0.5,1,4,1,1,2,65.1,48.1,1,3,1
Semi-urban,42313.0,0,1.4,0,4,1,2,1,52.2,68.0,1,8,0
Rural,3715.0,1,11.9,1,7,2,3,2,47.7,90.1,1,9,0
Urban,16970.0,2,1.3,0,9,2,1,3,15.4,59.4,1,5,0
Rural,4495.0,1,33.81,0,7,2,2,2,56.7,36.7,3,4,1
Rural,5269.0,1,10.78,1,7,2,3,2,74.1,79.2,2,8,1
Urban,11345.0,1,12.5,0,6,1,1,2,50.8,81.5,3,7,0
Urban,23330.0,0,12.2,1,4,2,2,2,71.6,86.0,8,8,1
Urban,9482.0,2,4.5,1,7,2,2,2,65.7,44.6,0,7,0
Urban,34248.0,0,2.5,0,8,2,2,2,58.5,55.2,3,7,0
Rural,14504.0,1,2.4,0,3,1,3,1,75.0,83.3,1,5,0
Rural,11723.0,1,18.76,2,4,1,1,2,55.8,52.2,0,7,0
Rural,13030.0,0,21.91,0,6,3,3,2,58.6,89.8,0,3,1
Rural,34990.0,1,20.6,1,9,3,2,2,35.4,56.9,6,10,1
Rural,2230.0,2,10.44,2,5,2,3,1,66.1,57.8,2,6,1
Urban,5642.0,0,1.5,2,10,3,1,2,63.8,60.1,0,2,0
Urban,17126.0,1,0.5,1,8,3,1,3,50.0,54.4,2,4,0
Urban,13173.0,0,15.7,0,4,1,3,1,74.2,85.6,0,7,0
Rural,2436.0,1,1.69,2,4,2,1,1,31.7,67.4,2,7,1
Urban,36275.0,1,8.4,0,5,1,2,3,70.4,39.7,1,9,0
Semi-urban,2344.0,1,27.4,1,6,3,2,2,17.9,52.1,5,6,1
Rural,17098.0,1,2.43,2,5,2,2,2,56.4,35.0,1,6,1
Urban,35977.0,2,15.5,2,6,1,2,3,62.2,58.8,4,7,1
Urban,17096.0,1,30.0,1,10,3,2,2,28.3,35.0,1,3,0
Semi-urban,9218.0,0,22.9,1,8,2,1,3,68.5,53.3,0,4,0
Semi-urban,9278.0,2,5.5,1,3,2,3,1,38.3,54.5,1,6,1
Rural,21401.0,0,10.43,0,3,1,2,2,39.6,76.8,4,6,1
Rural,7825.0,1,15.15,0,5,3,3,2,39.4,68.0,1,4,1
Semi-urban,3399.0,1,33.1,1,5,3,1,2,36.7,70.0,1,7,0
Semi-urban,2952.0,0,0.8,2,9,2,3,2,61.8,56.7,2,6,0
Rural,2000.0,0,10.68,2,8,2,1,2,58.1,48.0,0,8,0
Semi-urban,10359.0,1,5.2,1,4,2,2,3,20.4,47.6,3,4,1
Rural,8356.0,1,20.26,0,8,2,1,2,87.5,57.0,0,7,0
Urban,9062.0,1,25.5,2,3,1,2,1,55.8,43.4,1,8,1
Urban,8734.0,1,1.0,2,3,3,2,1,27.4,63.9,3,6,1
Semi-urban,2781.0,2,4.2,0,7,3,3,2,83.8,67.8,0,7,0
Rural,6571.0,2,6.85,0,7,2,1,2,31.4,45.5,1,7,0
Urban,6393.0,2,5.2,2,8,2,1,2,47.0,63.2,2,9,0
Semi-urban,25743.0,0,4.2,1,1,1,3,1,23.5,58.3,0,5,1
Rural,11112.0,0,0.72,2,4,1,2,3,77.6,75.3,0,7,0
Rural,7865.0,1,22.15,0,7,3,3,1,51.5,67.9,0,10,0
Urban,34897.0,1,9.0,0,10,3,1,3,86.5,88.0,0,7,0
Urban,9300.0,2,20.0,2,4,2,3,3,10.0,37.3,1,6,1
Semi-urban,12752.0,0,0.5,0,7,1,2,2,48.3,77.3,3,10,1
Rural,6048.0,1,7.46,1,6,2,1,2,69.5,35.0,4,6,1
Urban,12745.0,0,11.3,2,8,3,3,3,61.7,68.0,0,6,0
Urban,4551.0,0,6.4,0,3,1,3,3,50.4,57.8,2,5,1
Semi-urban,6124.0,2,4.0,0,3,2,3,3,27.5,48.8,1,5,1
Rural,2000.0,0,12.95,2,10,3,2,2,73.5,67.5,0,6,0
Rural,3693.0,2,0.88,1,7,2,3,2,80.8,46.8,0,7,0
Urban,7499.0,0,5.4,1,3,2,3,1,38.1,85.6,3,8,1
Urban,6597.0,1,3.2,0,5,2,3,3,36.3,48.3,1,4,1
Urban,23886.0,0,18.7,0,7,3,3,2,38.2,48.6,2,7,0
Semi-urban,12861.0,0,30.4,1,7,2,2,3,53.0,45.1,1,6,0
Semi-urban,5100.0,1,0.5,1,10,3,2,3,90.2,80.9,0,8,0
Urban,6483.0,1,2.0,1,9,2,2,3,90.8,61.8,2,6,0
Rural,2000.0,2,23.59,1,10,3,3,1,65.8,44.9,0,8,0
Rural,2000.0,0,4.82,2,3,3,3,1,83.3,64.4,3,7,1
Semi-urban,15451.0,0,8.2,1,7,2,2,2,21.2,58.5,8,6,1
Rural,10105.0,1,8.9,0,10,2,1,3,93.1,87.7,0,8,0
Semi-urban,12302.0,2,0.5,1,5,2,3,2,87.0,69.1,6,7,1
Urban,50000.0,0,12.7,2,2,1,3,1,76.2,51.5,5,6,1
Rural,15644.0,1,16.11,0,6,2,2,2,73.3,60.5,0,7,0
Semi-urban,4029.0,2,10.5,0,10,3,1,2,75.9,66.9,9,6,1
Rural,2905.0,1,1.36,1,5,2,2,3,74.6,49.1,0,6,1
Semi-urban,13700.0,0,8.6,0,6,3,3,1,46.8,53.4,5,6,1
Rural,7382.0,1,5.76,2,10,3,1,3,79.0,85.3,0,10,0
Rural,23590.0,2,8.17,2,6,2,3,1,22.6,45.5,6,5,1
Urban,10839.0,0,0.5,1,6,2,2,3,65.5,71.8,7,6,1
Semi-urban,22711.0,0,6.9,0,6,3,2,1,71.9,67.4,5,6,1
Semi-urban,7229.0,2,30.0,1,9,3,1,3,83.4,37.2,2,8,0
Semi-urban,6765.0,0,24.1,2,3,1,3,3,29.3,38.1,5,6,1
Semi-urban,7161.0,2,0.5,1,3,1,3,2,20.0,59.3,9,6,1
Rural,7153.0,2,16.53,1,7,2,3,1,81.2,77.2,0,9,0
